CCAA Codigo ISO,Fecha,Casos ,Hospitalizados,UCI,Fallecidos,Recuperados
CB,29/03/2020,1100,481,46,27,24
CM,29/03/2020,5858,3134,302,622,252
CL,29/03/2020,5801,2540,307,442,871
CT,29/03/2020,16157,11769,1512,1410,4125
CE,29/03/2020,25,2,2,1,0
VC,29/03/2020,5110,2042,336,310,185
EX,29/03/2020,1560,353,43,106,60
GA,29/03/2020,3723,1147,134,66,168
MD,29/03/2020,24090,14917,1460,3392,8301
ME,29/03/2020,51,27,3,1,0
MC,29/03/2020,939,265,58,25,17
NC,29/03/2020,2146,955,96,102,161
PV,29/03/2020,6057,3427,293,297,1646
RI,29/03/2020,1733,517,43,71,431
AN,30/03/2020,5818,2867,235,248,160
AR,30/03/2020,2272,1176,165,138,204
AS,30/03/2020,1236,529,65,55,90
IB,30/03/2020,1069,399,85,42,111
CN,30/03/2020,1262,483,94,55,57
CB,30/03/2020,1171,522,50,37,35
